source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,potency_um,cytotox_median_um,cytotox_lower_bound_um,nhit,ntested,dtxsid,casrn,name,assay_description
ToxCast,off-target-safety,4,CC(CN)O,CC(CN)O,C3H9NO,75.11,0,1000.0,burst_median_AC50,uM,0,63,1000.0,1000.0,1000.0,0,63,DTXSID9021764,78-96-6,1-Amino-2-propanol,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,C6H3ClN2O4,202.55,1,25.0250004711092,burst_median_AC50,uM,66,68,25.0250004711092,25.0250004711092,4.44710463270374,66,68,DTXSID6020278,97-00-7,"1-Chloro-2,4-dinitrobenzene","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,11,C(CCl)Cl,C(CCl)Cl,C2H4Cl2,98.96,0,1000.0,burst_median_AC50,uM,0,70,1000.0,1000.0,1000.0,0,70,DTXSID6020438,107-06-2,"1,2-Dichloroethane","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,13,C1=CC(=C(C=C1Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)Cl,C6H3Cl3,181.4,0,1000.0,burst_median_AC50,uM,0,88,1000.0,1000.0,1000.0,0,88,DTXSID0021965,120-82-1,"1,2,4-Trichlorobenzene","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,33,C(C=O)Cl,C(C=O)Cl,C2H3ClO,78.5,1,1000.0,burst_median_AC50,uM,1,71,1000.0,1000.0,1000.0,1,71,DTXSID4020292,107-20-0,2-Chloroacetaldehyde,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,34,C(CCl)O,C(CCl)O,C2H5ClO,80.51,0,1000.0,burst_median_AC50,uM,0,82,1000.0,1000.0,1000.0,0,82,DTXSID1021877,107-07-3,2-Chloroethanol,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,51,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)O)C(=O)C(=O)O,C5H6O5,146.1,0,1000.0,burst_median_AC50,uM,0,66,1000.0,1000.0,1000.0,0,66,DTXSID5033179,328-50-7,alpha-Ketoglutaric acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,66,C1=CC(=C(C=C1Cl)O)Cl,C1=CC(=C(C=C1Cl)O)Cl,C6H4Cl2O,163.0,1,1000.0,burst_median_AC50,uM,3,85,1000.0,1000.0,1000.0,3,85,DTXSID7025003,583-78-8,"2,5-Dichlorophenol","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,72,C1=CC(=C(C=C1C(=O)O)O)O,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,0,1000.0,burst_median_AC50,uM,0,68,1000.0,1000.0,1000.0,0,68,DTXSID4021212,99-50-3,"3,4-Dihydroxybenzoic acid","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,79,C1=CC(=CN=C1)C#N,C1=CC(=CN=C1)C#N,C6H4N2,104.11,0,1000.0,burst_median_AC50,uM,0,79,1000.0,1000.0,1000.0,0,79,DTXSID1026665,100-54-9,3-Pyridinecarbonitrile,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
